highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,75,844.0,858.0,2668.0,2682.0,14.0,0.6934,5,audio_mel_ncc,14:04,14:18,44:28,44:42
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,76,850.0,863.0,1565.0,1578.0,13.0,0.7517,4,audio_mel_ncc,14:10,14:23,26:05,26:18
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,77,856.0,868.0,8015.0,8027.0,12.0,0.7436,3,audio_mel_ncc,14:16,14:28,2:13:35,2:13:47
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,78,860.0,872.0,7636.0,7648.0,12.0,0.7879,3,audio_mel_ncc,14:20,14:32,2:07:16,2:07:28
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,79,865.0,881.0,7743.0,7759.0,16.0,0.8559,7,audio_mel_ncc,14:25,14:41,2:09:03,2:09:19
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,80,890.0,902.0,2067.0,2079.0,12.0,0.6799,3,audio_mel_ncc,14:50,15:02,34:27,34:39
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,81,907.0,919.0,1121.0,1133.0,12.0,0.6646,3,audio_mel_ncc,15:07,15:19,18:41,18:53
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,82,911.0,923.0,3693.0,3705.0,12.0,0.737,3,audio_mel_ncc,15:11,15:23,1:01:33,1:01:45
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,83,921.0,934.0,8749.0,8762.0,13.0,0.7903,4,audio_mel_ncc,15:21,15:34,2:25:49,2:26:02
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,84,948.0,961.0,3893.0,3906.0,13.0,0.6231,4,audio_mel_ncc,15:48,16:01,1:04:53,1:05:06
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,85,955.0,976.0,6957.0,6978.0,21.0,0.8394,12,audio_mel_ncc,15:55,16:16,1:55:57,1:56:18
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,86,990.0,1003.0,7176.0,7189.0,13.0,0.824,4,audio_mel_ncc,16:30,16:43,1:59:36,1:59:49
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,87,1027.0,1039.0,8524.0,8536.0,12.0,0.6938,3,audio_mel_ncc,17:07,17:19,2:22:04,2:22:16
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,88,1039.0,1055.0,8262.0,8278.0,16.0,0.6522,7,audio_mel_ncc,17:19,17:35,2:17:42,2:17:58
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,89,1046.0,1058.0,818.0,830.0,12.0,0.606,3,audio_mel_ncc,17:26,17:38,13:38,13:50
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,90,1060.0,1072.0,2564.0,2576.0,12.0,0.7589,3,audio_mel_ncc,17:40,17:52,42:44,42:56
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,91,1063.0,1075.0,8189.0,8201.0,12.0,0.7648,3,audio_mel_ncc,17:43,17:55,2:16:29,2:16:41
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,92,1070.0,1084.0,3560.0,3574.0,14.0,0.7648,5,audio_mel_ncc,17:50,18:04,59:20,59:34
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,93,1075.0,1089.0,3462.0,3476.0,14.0,0.7125,5,audio_mel_ncc,17:55,18:09,57:42,57:56
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,94,1080.0,1096.0,8264.0,8280.0,16.0,0.817,7,audio_mel_ncc,18:00,18:16,2:17:44,2:18:00
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,95,1088.0,1101.0,7732.0,7745.0,13.0,0.8714,4,audio_mel_ncc,18:08,18:21,2:08:52,2:09:05
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,96,1114.0,1126.0,5270.0,5282.0,12.0,0.7179,3,audio_mel_ncc,18:34,18:46,1:27:50,1:28:02
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,97,1127.0,1139.0,4130.0,4142.0,12.0,0.7241,3,audio_mel_ncc,18:47,18:59,1:08:50,1:09:02
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,98,1137.0,1150.0,8034.0,8047.0,13.0,0.6512,4,audio_mel_ncc,18:57,19:10,2:13:54,2:14:07
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,99,1150.0,1164.0,7747.0,7761.0,14.0,0.8623,5,audio_mel_ncc,19:10,19:24,2:09:07,2:09:21
