highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,59,684.0,696.0,5785.0,5797.0,12.0,0.6746,3,audio_mel_ncc,11:24,11:36,1:36:25,1:36:37
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,60,687.0,699.0,4225.0,4237.0,12.0,0.6873,3,audio_mel_ncc,11:27,11:39,1:10:25,1:10:37
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,61,729.0,749.0,11940.0,11960.0,20.0,0.7409,11,audio_mel_ncc,12:09,12:29,3:19:00,3:19:20
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,62,740.0,752.0,9001.0,9013.0,12.0,0.6714,3,audio_mel_ncc,12:20,12:32,2:30:01,2:30:13
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,63,755.0,767.0,7497.0,7509.0,12.0,0.7047,3,audio_mel_ncc,12:35,12:47,2:04:57,2:05:09
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,64,791.0,804.0,13359.0,13372.0,13.0,0.7856,4,audio_mel_ncc,13:11,13:24,3:42:39,3:42:52
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,65,808.0,820.0,9325.0,9337.0,12.0,0.8068,3,audio_mel_ncc,13:28,13:40,2:35:25,2:35:37
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,66,842.0,854.0,12606.0,12618.0,12.0,0.6771,3,audio_mel_ncc,14:02,14:14,3:30:06,3:30:18
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,67,846.0,863.0,12614.0,12631.0,17.0,0.598,8,audio_mel_ncc,14:06,14:23,3:30:14,3:30:31
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,68,870.0,882.0,8749.0,8761.0,12.0,0.7419,3,audio_mel_ncc,14:30,14:42,2:25:49,2:26:01
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,69,878.0,890.0,9807.0,9819.0,12.0,0.7078,3,audio_mel_ncc,14:38,14:50,2:43:27,2:43:39
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,70,892.0,905.0,7747.0,7760.0,13.0,0.7292,4,audio_mel_ncc,14:52,15:05,2:09:07,2:09:20
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,71,901.0,914.0,5277.0,5290.0,13.0,0.7323,4,audio_mel_ncc,15:01,15:14,1:27:57,1:28:10
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,72,911.0,923.0,10518.0,10530.0,12.0,0.6286,3,audio_mel_ncc,15:11,15:23,2:55:18,2:55:30
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,73,914.0,927.0,10826.0,10839.0,13.0,0.6723,4,audio_mel_ncc,15:14,15:27,3:00:26,3:00:39
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,74,933.0,945.0,6633.0,6645.0,12.0,0.8317,3,audio_mel_ncc,15:33,15:45,1:50:33,1:50:45
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,75,968.0,981.0,8568.0,8581.0,13.0,0.8676,4,audio_mel_ncc,16:08,16:21,2:22:48,2:23:01
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,76,977.0,993.0,13052.0,13068.0,16.0,0.7206,7,audio_mel_ncc,16:17,16:33,3:37:32,3:37:48
